mz,intensity,rel.intensity,theo.mass,delta,rdb,composition
599.320158,1459356.8,1.65,599.3201835,0.042447742,2.5,C27 H52 O12 P
599.4759582,411680.8,0.47,599.4766478,1.150306013,3,C34 H65 O7 N
599.5006583,191879.5,0.22,,,,
599.5288583,1717229.9,1.94,599.5282895,0.948797966,6,C39 H69 O3 N
600.3235592,483437.5,0.55,600.3236747,0.192265805,2.5,C26 H50 O14 N
600.4794594,213973.6,0.24,600.4785996,1.431876864,11.5,C41 H62 O2 N
600.5128595,306357,0.35,600.5126161,0.405195184,1.5,C35 H71 O4 N P
600.5321595,560686.7,0.63,600.5334344,2.122984628,1,C36 H72 O6
601.3282604,181201.4,0.21,601.3275913,1.112708997,1.5,C27 H55 O10 P2
601.4827606,335459.5,0.38,601.4837446,1.635856793,6.5,C38 H65 O5
601.4914606,542238.1,0.61,601.4922979,1.391935465,2,C34 H67 O7 N
601.5258607,430107,0.49,601.524775,1.804829142,0.5,C36 H75 O2 P2
602.3303616,997377.9,1.13,602.3307714,0.680325249,6,C30 H50 O12
602.4950618,252294.6,0.29,602.4942497,1.347988256,10.5,C41 H64 O2 N
603.3336628,366943.2,0.42,603.3330343,1.041733871,10,C33 H50 O7 N P
603.489563,232530,0.26,603.4911524,2.63367945,5.5,C38 H68 O3 P
603.498263,534193.1,0.6,603.4993946,1.875061165,5.5,C38 H67 O5
604.337364,261361.7,0.3,604.3381793,1.348979499,5,C30 H53 O10 P
605.5049654,305788.2,0.35,,,,
605.6240656,303745,0.34,605.6242012,0.223982059,1.5,C41 H81 O2
607.5117678,203714.8,0.23,,,,
609.37627,383433.3,0.43,609.3773044,1.697440198,2.5,C30 H58 O10 P
610.5529715,703683.6,0.8,610.5541698,1.962799974,2,C38 H74 O5
611.5255726,224172.2,0.25,611.5256094,0.060102555,2.5,C37 H71 O6
612.2412735,753018.4,0.85,612.2411221,0.247319285,14,C33 H42 O7 P2
613.540975,741711.7,0.84,613.5412594,0.463556432,1.5,C37 H73 O6
614.4906762,194506.9,0.22,614.4915696,1.453937532,7,C39 H66 O5
614.5440762,179242.3,0.2,,,,
615.4943774,221834.9,0.25,,,,
616.3644784,335781.6,0.38,616.3643577,0.195824547,14.5,C38 H50 O6 N
616.4711785,2500522.5,2.83,616.4711452,0.053985397,2.5,C34 H67 O6 N P
617.4187797,1002948.1,1.13,617.4187753,0.007027646,3.5,C33 H62 O8 P
617.4744797,907903.5,1.03,,,,
617.5010798,197189,0.22,617.4997885,2.091024904,1.5,C35 H69 O8
618.4221809,286931.4,0.32,618.4222665,0.138486146,3.5,C32 H60 O10 N
618.4778809,538816.1,0.61,618.478242,0.583818031,6,C38 H67 O4 P
618.583181,539059.8,0.61,618.5830647,0.188124668,3.5,C40 H76 O3 N
619.2888819,2755339.5,3.12,619.2888833,0.002347545,6.5,C29 H48 O12 P
619.6397823,690071.6,0.78,619.6398513,0.1113042,1.5,C42 H83 O2
620.2921831,807577.8,0.91,620.2923745,0.308622031,6.5,C28 H46 O14 N
620.4847833,188605,0.21,620.4856499,1.396548059,5,C38 H70 O2 P2
620.5986835,920830.3,1.04,620.5987147,0.050412193,2.5,C40 H78 O3 N
620.6431835,303474,0.34,,,,
621.3047843,239930.1,0.27,621.3048445,0.096907941,1,C25 H53 O12 N P2
621.6020847,336528.5,0.38,,,,
622.2989855,2167537.5,2.45,622.2994713,0.780645164,10,C32 H46 O12
622.6054859,273994.9,0.31,,,,
623.3021867,574853.4,0.65,623.3017342,0.725970262,14,C35 H46 O7 N P
624.3146879,256088.8,0.29,624.3151213,0.694282803,9,C32 H48 O12
624.4974881,347264.3,0.39,624.49736,0.205158798,-0.5,C33 H71 O7 N P
626.5040905,206457.5,0.23,626.5044568,0.58457391,3,C37 H71 O5 P
626.5125905,232158.8,0.26,626.512699,0.173079172,3,C37 H70 O7
626.5362906,183463,0.21,626.5365084,0.347716946,2.5,C37 H72 O6 N
626.5477906,523836.4,0.59,626.5490845,2.065131496,2,C38 H74 O6
627.5072917,821216.9,0.93,627.5079479,1.045756915,3,C36 H69 O7 N
627.5602918,1801870.8,2.04,627.5595896,1.118924508,6,C41 H73 O3 N
628.5106929,391627.5,0.44,628.5098997,1.26198845,11.5,C43 H66 O2 N
628.563593,592004.9,0.67,628.5647345,1.816140367,1,C38 H76 O6
629.5141941,473475.9,0.54,629.5150447,1.351167041,6.5,C40 H69 O5
629.5230941,563581.6,0.64,629.523598,0.800409441,2,C36 H71 O7 N
629.5571942,570220.7,0.65,629.5560751,1.777459018,0.5,C38 H79 O2 P2
630.4864953,352312.8,0.4,630.4864842,0.017541879,7,C39 H66 O6
630.5173953,268012.5,0.3,,,,
631.4895965,212158.9,0.24,,,,
631.5209965,232984.4,0.26,631.5224525,2.305603835,5.5,C40 H72 O3 P
631.5297965,363822.2,0.41,631.5306948,1.422316433,5.5,C40 H71 O5
632.4297976,363603.1,0.41,632.4296744,0.194861664,3.5,C33 H63 O8 N P
633.5361989,195582.1,0.22,,,,
633.6554991,239998.9,0.27,633.6555013,0.003610946,1.5,C43 H85 O2
634.438,547881.1,0.62,634.4370822,1.446602497,2.5,C33 H66 O6 N P2
634.4453,88367048,100,634.4453244,0.03849059,2.5,C33 H65 O8 N P
635.4488012,31756150,35.94,635.4472762,2.399836568,11,C40 H62 O3 N P
636.4521024,4365499.5,4.94,636.4524212,0.500868853,6,C37 H65 O6 P
637.4559036,387376.9,0.44,637.4559124,0.013742851,6,C36 H63 O8 N
637.5889038,182293.1,0.21,,,,
638.4996048,275599.7,0.31,638.5001229,0.811363242,4.5,C37 H68 O7 N
638.5841049,748806.3,0.85,638.58547,2.137592958,2,C40 H78 O5
639.5568061,239341.8,0.27,639.5569095,0.161664543,2.5,C39 H75 O6
639.5876061,206240.6,0.23,,,,
640.272207,349474.4,0.4,640.2724222,0.336139367,14,C35 H46 O7 P2
640.5150073,594137.5,0.67,640.515773,1.195462584,3.5,C37 H70 O7 N
641.5102084,496509.6,0.56,641.5083419,2.909675166,-1,C33 H71 O10 N
641.5183085,214132.9,0.24,641.5177248,0.909843837,12,C44 H67 O2 N
641.5725085,475430.9,0.54,641.5725596,0.079569987,1.5,C39 H77 O6
642.4867096,548442.4,0.62,642.4867953,0.133392193,3.5,C36 H69 O6 N P
642.5134096,235929.6,0.27,642.5146275,1.895481267,7,C41 H71 O3 P
642.5219096,331946.3,0.38,642.5228697,1.494222146,7,C41 H70 O5
642.5310097,331129.2,0.37,642.531423,0.643342685,2.5,C37 H72 O7 N
643.5167108,329132.6,0.37,643.5154386,1.976991556,2.5,C37 H71 O8
643.5251108,471091.9,0.53,,,,
644.502412,414372.3,0.47,644.5024454,0.051759261,2.5,C36 H71 O6 N P
644.528812,192890.4,0.22,644.5302776,2.273798658,6,C41 H73 O3 P
644.5987121,1658392.4,1.88,644.5987147,0.004052749,4.5,C42 H78 O3 N
645.5321132,233982.5,0.26,645.5310887,1.587171988,1.5,C37 H73 O8
645.6019133,712492.4,0.81,,,,
646.4453143,2921447.3,3.31,646.4453244,0.015598383,3.5,C34 H65 O8 N P
646.6057145,343058.2,0.39,,,,
646.6144145,3779194.5,4.28,646.6143648,0.076910358,3.5,C42 H80 O3 N
647.4486155,1010523.6,1.14,647.4472762,2.068596135,12,C41 H62 O3 N P
647.6176157,1961355.5,2.22,,,,
647.6712158,425678.2,0.48,647.6711514,0.099421307,1.5,C44 H87 O2
648.4245167,252651.4,0.29,648.424589,0.111460956,3.5,C33 H63 O9 N P
648.4602167,245112,0.28,648.4606634,0.688771899,7,C38 H64 O8
648.6211169,1313394.4,1.49,,,,
648.6300169,2217266,2.51,648.6300149,0.003199002,2.5,C42 H82 O3 N
649.6246181,512327.6,0.58,,,,
649.6333181,1175623.9,1.33,,,,
650.6277193,457797.3,0.52,,,,
650.6366193,894121.4,1.01,,,,
651.6309205,239379.3,0.27,651.6296805,1.902937388,1.5,C42 H83 O4
651.6401205,330809.5,0.37,,,,
652.5284216,204938.9,0.23,652.528349,0.11123029,4,C39 H72 O7
652.6434217,402543.5,0.46,,,,
653.5837229,218299.5,0.25,,,,
654.559424,287773.7,0.33,654.5595663,0.217394903,2.5,C39 H77 O4 N P
654.5791241,571607.2,0.65,654.5803846,1.925730321,2,C40 H78 O6
655.5385252,295713.9,0.33,655.5392481,1.10269568,3,C38 H73 O7 N
656.5601264,271139.6,0.31,656.5596492,0.726923171,2,C39 H76 O7
656.5753264,485590.4,0.55,656.5752164,0.167606205,1.5,C39 H79 O4 N P
658.5177288,184644.9,0.21,658.5177843,0.084400904,7,C41 H70 O6
659.5137299,278631.5,0.32,659.5130333,1.056290749,7,C40 H69 O6 N
661.6868325,700879.1,0.79,661.6868015,0.046959698,1.5,C45 H89 O2
662.4403334,993790.5,1.12,662.440239,0.142513239,3.5,C34 H65 O9 N P
662.4672335,188671.5,0.21,662.4680712,1.264609965,7,C39 H67 O6 P
662.4766335,10048743,11.37,662.4766245,0.013495624,2.5,C35 H69 O8 N P
662.6900337,294385.3,0.33,,,,
