m/z,Intensity,Relative
724.5587,310533.8,0.35
725.4997,879888.9,1
725.5138,961633.4,1.09
725.523,9365029,10.6
725.5538,727681.3,0.82
725.562,374896.5,0.42
726.5074,461847.2,0.52
726.5167,371542.6,0.42
726.5263,4380410,4.96
726.5441,3499416.3,3.96
726.557,341436.3,0.39
726.5806,514862.3,0.58
727.5298,3336737.8,3.78
727.5384,2164699.5,2.45
727.547,1456663.9,1.65
727.5603,310738.9,0.35
727.584,204966,0.23
728.5231,502129.6,0.57
728.5331,1514502.8,1.71
728.5416,1051639.5,1.19
728.5508,713898.6,0.81
728.5597,1958914.5,2.22
728.5712,608188.8,0.69
728.5964,193579.3,0.22
729.5269,337791.8,0.38
729.5364,1346660.9,1.52
729.5453,965853.9,1.09
729.554,874202.1,0.99
729.5624,878430.9,0.99
729.574,259335.6,0.29
730.5393,1332281.8,1.51
730.5575,371253.3,0.42
730.566,334268.3,0.38
730.5749,268603.6,0.3
731.5334,306862.9,0.35
731.5427,798215.3,0.9
731.5514,281879.1,0.32
731.561,353336,0.4
731.5696,561401.8,0.64
731.7649,258313.4,0.29
732.4124,843123.1,0.95
732.4431,375267.1,0.42
732.4974,401054.5,0.45
732.5458,437822.3,0.5
732.5542,284867.6,0.32
732.5731,255794.3,0.29
733.4159,197075.4,0.22
733.5495,955017.5,1.08
733.5688,210896.3,0.24
734.5128,1983537.6,2.24
734.5521,428654,0.49
735.5158,833323.1,0.94
735.5557,342097,0.39
736.4921,2322248,2.63
736.5136,662539.6,0.75
736.5284,2709293.5,3.07
737.4953,1004576.6,1.14
737.5235,419890,0.48
737.531,1168115.3,1.32
737.538,1038019.7,1.17
738.4978,432912,0.49
738.5076,1022560,1.16
738.5345,273398.4,0.31
738.546,248974.7,0.28
739.4877,358252.1,0.41
739.5024,473117.3,0.54
739.5106,508509.2,0.58
739.5387,247903.6,0.28
740.5059,233028.6,0.26
740.5143,456555.5,0.52
740.5234,583848.6,0.66
741.5178,1346765.1,1.52
742.5212,758611.3,0.86
742.5391,2070102.8,2.34
743.5246,717750.1,0.81
743.5337,624998.9,0.71
743.5422,918803.9,1.04
743.6073,199033.4,0.23
744.5283,276852.8,0.31
744.5472,890512.4,1.01
744.5547,2871818.8,3.25
744.5661,889330,1.01
745.5023,1069348.9,1.21
745.5311,191690.1,0.22
745.5494,2292524,2.59
745.5574,1455687.3,1.65
745.5692,344810,0.39
745.7806,407686.3,0.46
746.5129,13803758,15.62
746.5343,322785.7,0.37
746.5522,1353995.6,1.53
746.5614,1361602.5,1.54
746.5725,180884.8,0.2
747.5164,6851187.5,7.75
747.5379,191818,0.22
747.5565,1248429.1,1.41
747.5653,6541757.5,7.4
748.5285,37376260,42.3
748.5611,8200752.5,9.28
749.5318,17589622,19.91
749.5647,3781128.8,4.28
750.5076,1013189.1,1.15
750.5441,30100600,34.06
750.5679,2267917.3,2.57
751.5106,449090.7,0.51
751.539,8019242,9.07
751.5473,14420101,16.32
751.5781,1300060.6,1.47
752.5082,4059833,4.59
752.5233,3181962,3.6
752.5419,3390914.3,3.84
752.5508,4547700,5.15
752.5593,4901095.5,5.55
752.5749,885466.3,1
753.5116,1593513.4,1.8
753.5261,1353193.4,1.53
753.5398,2465053.5,2.79
753.5541,6073376,6.87
753.5845,634100.1,0.72
754.394,235466.8,0.27
754.4875,248602.5,0.28
754.5025,369055.7,0.42
754.5155,283944.4,0.32
754.5295,570294.8,0.65
754.541,1621788.3,1.84
754.5573,2579998.3,2.92
754.5833,367121.2,0.42
755.533,788398.3,0.89
755.5448,1494510.3,1.69
755.561,1521511.8,1.72
755.5695,1842911.5,2.09
755.5913,258317.8,0.29
756.5364,337390.6,0.38
756.5495,897051.9,1.02
756.5642,721108.3,0.82
756.5727,750860.5,0.85
757.54,333435,0.38
757.5509,783361.9,0.89
757.5678,602661.6,0.68
757.576,581416.6,0.66
758.5127,273400.4,0.31
758.5539,412895.8,0.47
758.5704,502852.1,0.57
759.5597,454950.2,0.51
759.5724,247135.8,0.28
760.5132,4029570,4.56
760.5282,1375579.6,1.56
760.5499,287133.5,0.32
760.5616,265134.5,0.3
761.5165,2067840.5,2.34
761.5319,543634.6,0.62
761.5448,382789.2,0.43
761.5651,188918.2,0.21
761.5808,474160.8,0.54
762.5075,897196.8,1.02
762.52,1885746.6,2.13
762.5328,190871.5,0.22
762.5439,1078708,1.22
762.5657,271416.1,0.31
762.5772,291667.8,0.33
762.5821,281073,0.32
763.5106,619284.7,0.7
763.5232,3369333.5,3.81
763.5383,336016.9,0.38
763.546,357290,0.4
763.5605,842606.9,0.95
764.5228,2534207.5,2.87
764.5454,344008.7,0.39
764.5549,204989.1,0.23
765.518,1533463.5,1.74
765.5303,1493998.3,1.69
765.5687,314713.9,0.36
766.5218,752588.3,0.85
766.527,799214.4,0.9
766.5391,8242357,9.33
767.5335,2153375.8,2.44
767.5422,4264009.5,4.83
768.5365,914579.9,1.03
768.5459,2900903.3,3.28
768.5542,2448179.5,2.77
769.5491,5645974.5,6.39
770.5352,246311.5,0.28
770.5525,2987133.5,3.38
770.5692,485890.6,0.55
771.5173,229879.9,0.26
771.5559,2201454,2.49
771.6384,330222.8,0.37
772.5133,460627,0.52
772.5283,3847723.5,4.35
772.5592,943073.7,1.07
772.5675,752208.6,0.85
772.586,267619.8,0.3
773.5326,2842185.3,3.22
773.5626,860644.3,0.97
773.5713,550110.4,0.62
773.5801,574777.9,0.65
774.4593,1999402.4,2.26
774.5439,5041496,5.71
774.566,656876.6,0.74
774.5769,401753.4,0.45
775.4628,812954.3,0.92
775.547,2652615.5,3
775.5622,408224.6,0.46
775.5677,434998.1,0.49
775.5796,252325.2,0.29
775.5964,798079.4,0.9
776.5232,1358632.8,1.54
776.5444,1224219.1,1.39
776.5594,2709761.5,3.07
776.5838,221694.6,0.25
776.5921,923796.3,1.05
777.5261,635194.4,0.72
777.5395,1457830,1.65
777.5539,1696645.5,1.92
777.5624,1496348.9,1.69
777.5761,2338305.3,2.65
777.5959,428122,0.48
778.5236,4889894,5.53
778.5387,2609475.5,2.95
778.5479,620557.9,0.7
778.5576,814906.3,0.92
778.5738,1049233.9,1.19
778.5819,598264.6,0.68
779.5271,1942291,2.2
779.5412,1175442.8,1.33
779.5542,1807443.1,2.05
779.5695,1319795.1,1.49
779.5848,606581.6,0.69
780.5184,623484.4,0.71
780.5308,472298.9,0.53
780.5394,458488.6,0.52
780.5488,916146.4,1.04
780.5553,1574996.3,1.78
780.5725,566233.4,0.64
780.5911,405199.1,0.46
781.5469,483588.5,0.55
781.5639,882472,1
781.5841,623460.7,0.71
782.5339,1019103.8,1.15
782.5573,805200.4,0.91
782.5648,909078.6,1.03
782.588,233016.3,0.26
783.5371,487468.1,0.55
783.5697,737350.4,0.83
784.5133,468122.3,0.53
784.5488,315536.5,0.36
784.5636,579808.2,0.66
784.572,703109.2,0.8
785.5447,317823.9,0.36
785.5668,200594.1,0.23
785.5755,352050.2,0.4
786.5288,3739817.3,4.23
786.5782,369134.7,0.42
787.5321,1825674.9,2.07
788.5234,383267.7,0.43
788.5444,14392348,16.29
789.5476,7052559,7.98
790.5389,1392208,1.58
790.5511,4240012,4.8
791.5422,747961.9,0.85
791.5544,7311434.5,8.27
791.5916,177991.1,0.2
792.5178,175566.9,0.2
792.5581,3268517,3.7
793.502,214950,0.24
793.5492,1489375.1,1.69
793.5615,2553153,2.89
794.5339,890822.2,1.01
794.5531,729146.4,0.83
794.5643,1754249.8,1.99
794.6222,220617.9,0.25
795.5178,243976.5,0.28
795.5365,349204.9,0.4
795.5676,1228291.6,1.39
796.5135,340323.7,0.39
796.5343,394968.9,0.45
796.5497,934156.8,1.06
796.571,687907.4,0.78
797.5513,458037.6,0.52
797.5601,212958.5,0.24
797.5809,659852.6,0.75
797.654,641119.9,0.73
798.5288,762178.4,0.86
798.5557,278833.5,0.32
798.5654,660977.5,0.75
798.5844,414965.7,0.47
798.6574,325100.3,0.37
799.5271,783781.8,0.89
799.5599,472439.9,0.53
799.5681,356458.1,0.4
799.5843,211576.9,0.24
799.5877,221211.8,0.25
799.6691,221833.5,0.25
