SPECTRUM - MS,,,,,,
20230108_control1_Recal.raw,,,,,,
FTMS - p ESI Full ms [450.00-950.00],,,,,,
Scan #: 162-181,,,,,,
RT: 4.33-4.84,,,,,,
AV: 20,,do not copy this header--only copy rows 8-1008,,,,
,,,,,,
m/z,Intensity,Relative,Theo. Mass,Delta (mmu),RDB equiv.,Composition
627.5072,821216.9,0.93,627.5074,-0.24,-0.5,C30 [13]C3 H71 O7 N P 
627.5602,1801870.8,2.04,627.5119,48.28,-1,C31 [13]C2 H72 O7 N P 
628.5106,391627.5,0.44,628.5108,-0.16,-0.5,C29 [13]C4 H71 O7 N P 
628.5635,592004.9,0.67,628.5153,48.25,-1,C30 [13]C3 H72 O7 N P 
629.5141,473475.9,0.54,629.5141,0,-0.5,C28 [13]C5 H71 O7 N P 
629.523,563581.6,0.64,629.5186,4.35,-1,C29 [13]C4 H72 O7 N P 
629.5571,570220.7,0.65,629.5186,38.51,-1,C29 [13]C4 H72 O7 N P 
630.4864,352312.8,0.4,630.4856,0.81,0,C27 [13]C5 H68 O8 N P 
630.5173,268012.5,0.3,630.5175,-0.21,-0.5,C27 [13]C6 H71 O7 N P 
631.4895,212158.9,0.24,631.4889,0.58,0,C26 [13]C6 H68 O8 N P 
631.5209,232984.4,0.26,631.5208,0.02,-0.5,C26 [13]C7 H71 O7 N P 
631.5297,363822.2,0.41,631.5253,4.37,-1,C27 [13]C6 H72 O7 N P 
632.4297,363603.1,0.41,632.4297,0.04,3.5,C33 H63 O8 N P 
633.5361,195582.1,0.22,633.532,4.09,-1,C25 [13]C8 H72 O7 N P 
633.6554,239998.9,0.27,633.532,123.4,-1,C25 [13]C8 H72 O7 N P 
634.4379,547881.1,0.62,634.437,0.93,6.5,C24 [13]C10 H59 O7 N P 
634.4452,88367048,100,634.4453,-0.11,2.5,C33 H65 O8 N P 
635.4487,31756150,35.94,635.4487,-0.02,2.5,C32 [13]C H65 O8 N P 
636.452,4365499.5,4.94,636.452,-0.01,2.5,C31 [13]C2 H65 O8 N P 
637.4558,387376.9,0.44,637.4554,0.37,2.5,C30 [13]C3 H65 O8 N P 
637.5888,182293.1,0.21,637.518,70.79,-1,C22 [13]C10 H70 O8 N P 
638.4995,275599.7,0.31,638.4996,-0.11,1,C31 [13]C3 H70 O7 N P 
638.584,748806.3,0.85,638.513,71.03,-0.5,C34 H73 O7 N P 
639.5567,239341.8,0.27,639.5208,35.85,-1,C34 H74 O7 N P 
639.5875,206240.6,0.23,639.5208,66.71,-1,C34 H74 O7 N P 
640.2721,349474.4,0.4,640.2732,-1.05,17,C28 [13]C7 H40 O8 N P 
640.5149,594137.5,0.67,640.5153,-0.31,0,C31 [13]C3 H72 O7 N P 
641.5101,496509.6,0.56,641.5097,0.4,1,C28 [13]C6 H70 O7 N P 
641.5182,214132.9,0.24,641.5186,-0.41,0,C30 [13]C4 H72 O7 N P 
641.5724,475430.9,0.54,641.5275,44.83,-1,C32 [13]C2 H74 O7 N P 
642.4866,548442.4,0.62,642.4856,1.05,1,C28 [13]C5 H68 O8 N P 
642.5133,235929.6,0.27,642.513,0.29,1,C27 [13]C7 H70 O7 N P 
642.5218,331946.3,0.38,642.522,-0.19,0,C29 [13]C5 H72 O7 N P 
642.5309,331129.2,0.37,642.5309,0,-1,C31 [13]C3 H74 O7 N P 
643.5166,329132.6,0.37,643.5164,0.25,1,C26 [13]C8 H70 O7 N P 
643.525,471091.9,0.53,643.5253,-0.32,0,C28 [13]C6 H72 O7 N P 
644.5023,414372.3,0.47,644.5012,1.08,0,C28 [13]C5 H70 O8 N P 
644.5287,192890.4,0.22,644.5287,0.01,0,C27 [13]C7 H72 O7 N P 
644.5986,1658392.4,1.88,644.5376,60.96,-1,C29 [13]C5 H74 O7 N P 
645.532,233982.5,0.26,645.532,0.01,0,C26 [13]C8 H72 O7 N P 
645.6018,712492.4,0.81,645.541,60.78,-1,C28 [13]C6 H74 O7 N P 
646.4452,2921447.3,3.31,646.4453,-0.12,3.5,C34 H65 O8 N P 
646.6056,343058.2,0.39,646.5443,61.29,-1,C27 [13]C7 H74 O7 N P 
646.6143,3779194.5,4.28,646.5443,69.95,-1,C27 [13]C7 H74 O7 N P 
647.4485,1010523.6,1.14,647.4487,-0.14,3.5,C33 [13]C H65 O8 N P 
647.6175,1961355.5,2.22,647.5477,69.87,-1,C26 [13]C8 H74 O7 N P 
647.6711,425678.2,0.48,647.5477,123.39,-1,C26 [13]C8 H74 O7 N P 
648.4244,252651.4,0.29,648.4252,-0.78,6.5,C26 [13]C8 H59 O8 N P 
648.4601,245112,0.28,648.461,-0.93,2.5,C34 H67 O8 N P 
648.621,1313394.4,1.49,648.551,70.02,-1,C25 [13]C9 H74 O7 N P 
648.6299,2217266,2.51,648.551,78.83,-1,C25 [13]C9 H74 O7 N P 
649.6245,512327.6,0.58,649.5544,70.15,-1,C24 [13]C10 H74 O7 N P 
649.6332,1175623.9,1.33,649.5544,78.82,-1,C24 [13]C10 H74 O7 N P 
650.6276,457797.3,0.52,650.5303,97.25,-1,C24 [13]C9 H72 O8 N P 
650.6365,894121.4,1.01,650.5303,106.23,-1,C24 [13]C9 H72 O8 N P 
651.6308,239379.3,0.27,651.5337,97.17,-1,C23 [13]C10 H72 O8 N P 
651.64,330809.5,0.37,651.5337,106.38,-1,C23 [13]C10 H72 O8 N P 
652.5283,204938.9,0.23,652.5287,-0.37,-0.5,C35 H75 O7 N P 
652.6433,402543.5,0.46,652.5287,114.69,-0.5,C35 H75 O7 N P 
653.5836,218299.5,0.25,653.5365,47.09,-1,C35 H76 O7 N P 
654.5593,287773.7,0.33,654.5398,19.45,-1,C34 [13]C H76 O7 N P 
654.579,571607.2,0.65,654.5398,39.16,-1,C34 [13]C H76 O7 N P 
655.5384,295713.9,0.33,655.5387,-0.33,-0.5,C32 [13]C3 H75 O7 N P 
656.56,271139.6,0.31,656.5466,13.48,-1,C32 [13]C3 H76 O7 N P 
656.5752,485590.4,0.55,656.5466,28.67,-1,C32 [13]C3 H76 O7 N P 
658.5176,184644.9,0.21,658.5169,0.67,0,C29 [13]C5 H72 O8 N P 
659.5136,278631.5,0.32,659.5158,-2.12,0.5,C27 [13]C7 H71 O8 N P 
661.6867,700879.1,0.79,661.5633,123.33,-1,C27 [13]C8 H76 O7 N P 
662.4402,993790.5,1.12,662.4409,-0.68,6.5,C27 [13]C8 H61 O8 N P 
662.4671,188671.5,0.21,662.4677,-0.56,3.5,C33 [13]C2 H67 O8 N P 
662.4765,10048743,11.37,662.4766,-0.11,2.5,C35 H69 O8 N P 
662.6899,294385.3,0.33,662.5667,123.2,-1,C26 [13]C9 H76 O7 N P 
663.4434,288504.9,0.33,663.4442,-0.84,6.5,C26 [13]C9 H61 O8 N P 
663.4798,3648560.5,4.13,663.48,-0.23,2.5,C34 [13]C H69 O8 N P 
664.4558,10128845,11.46,664.4565,-0.7,5.5,C27 [13]C8 H63 O8 N P 
664.4833,694866.1,0.79,664.4833,-0.03,2.5,C33 [13]C2 H69 O8 N P 
665.4272,292335.8,0.33,665.4292,-1.95,8.5,C34 [13]C3 H61 O7 N P 
665.4591,3436793.5,3.89,665.4599,-0.78,5.5,C26 [13]C9 H63 O8 N P 
666.4351,902769.1,1.02,666.437,-1.85,8,C34 [13]C3 H62 O7 N P 
666.4625,425979.9,0.48,666.4632,-0.75,5.5,C25 [13]C10 H63 O8 N P 
666.5314,262470.1,0.3,666.5309,0.45,1,C33 [13]C3 H74 O7 N P 
668.5463,205264.8,0.23,668.5466,-0.23,0,C33 [13]C3 H76 O7 N P 
669.5414,242412.6,0.27,669.541,0.41,1,C30 [13]C6 H74 O7 N P 
670.5625,260057.6,0.29,670.5622,0.26,-1,C33 [13]C3 H78 O7 N P 
672.4972,1124884.4,1.27,672.4974,-0.19,3.5,C37 H71 O7 N P 
673.4813,457174.3,0.52,673.4828,-1.55,5.5,C32 [13]C5 H67 O7 N P 
673.5005,474374.3,0.54,673.5007,-0.26,3.5,C36 [13]C H71 O7 N P 
674.4758,342410.9,0.39,674.4766,-0.81,3.5,C36 H69 O8 N P 
674.4847,182563.9,0.21,674.4862,-1.53,5.5,C31 [13]C6 H67 O7 N P 
674.504,486087.1,0.55,674.5041,-0.12,3.5,C35 [13]C2 H71 O7 N P 
675.5073,518667.7,0.59,675.5074,-0.08,3.5,C34 [13]C3 H71 O7 N P 
675.7023,296691.7,0.34,675.579,123.36,-1,C28 [13]C8 H78 O7 N P 
676.4558,622006.9,0.7,676.4565,-0.7,6.5,C28 [13]C8 H63 O8 N P 
676.4918,1559383,1.76,676.4923,-0.44,2.5,C36 H71 O8 N P 
677.4953,640264.9,0.72,677.4956,-0.31,2.5,C35 [13]C H71 O8 N P 
677.5138,360964,0.41,677.5141,-0.3,3.5,C32 [13]C5 H71 O7 N P 
678.4713,1111334.1,1.26,678.4722,-0.89,5.5,C28 [13]C8 H65 O8 N P 
678.4902,184958.6,0.21,678.49,0.17,3.5,C32 [13]C4 H69 O8 N P 
678.4982,397883.6,0.45,678.499,-0.83,2.5,C34 [13]C2 H71 O8 N P 
679.4748,318019.4,0.36,679.4755,-0.76,5.5,C27 [13]C9 H65 O8 N P 
679.5024,201474.8,0.23,679.5023,0.09,2.5,C33 [13]C3 H71 O8 N P 
680.5753,645491.4,0.73,680.56,15.35,-0.5,C37 H79 O7 N P 
681.5786,388476,0.44,681.5678,10.84,-1,C37 H80 O7 N P 
681.6149,265163.3,0.3,681.5678,47.07,-1,C37 H80 O7 N P 
682.591,1555825.9,1.76,682.5711,19.86,-1,C36 [13]C H80 O7 N P 
683.5943,953416.5,1.08,683.5745,19.8,-1,C35 [13]C2 H80 O7 N P 
684.5881,628579.6,0.71,684.5779,10.27,-1,C34 [13]C3 H80 O7 N P 
684.5977,569271.2,0.64,684.5779,19.88,-1,C34 [13]C3 H80 O7 N P 
