SPECTRUM - MS,,,,,,
20230108_control1_Recal.raw,,,,,,
FTMS - p ESI Full ms [450.00-950.00],,,,,,
Scan #: 162-181,,,,,,
RT: 4.33-4.84,,,,,,
AV: 20,,do not copy this header--only copy rows 8-1008,,,,
,,,,,,
m/z,Intensity,Relative,Theo. Mass,Delta (mmu),RDB equiv.,Composition
774.566,656876.6,0.74,774.5661,-0.05,6.5,C35 [13]C8 H77 O8 N P 
774.5769,401753.4,0.45,774.575,1.85,5.5,C37 [13]C6 H79 O8 N P 
775.4628,812954.3,0.92,775.4582,4.6,15,C46 H66 O7 N P 
775.547,2652615.5,3,775.5477,-0.66,8.5,C44 [13]C H77 O7 N P 
775.5622,408224.6,0.46,775.565,-2.73,7,C33 [13]C10 H76 O8 N P 
775.5677,434998.1,0.49,775.5694,-1.69,6.5,C34 [13]C9 H77 O8 N P 
775.5796,252325.2,0.29,775.5784,1.2,5.5,C36 [13]C7 H79 O8 N P 
775.5964,798079.4,0.9,775.5962,0.14,3.5,C40 [13]C3 H83 O8 N P 
776.5232,1358632.8,1.54,776.5236,-0.33,8.5,C44 H75 O8 N P 
776.5444,1224219.1,1.39,776.5466,-2.12,9,C42 [13]C3 H76 O7 N P 
776.5594,2709761.5,3.07,776.56,-0.52,7.5,C45 H79 O7 N P 
776.5838,221694.6,0.25,776.5817,2.07,5.5,C35 [13]C8 H79 O8 N P 
776.5921,923796.3,1.05,776.5907,1.41,4.5,C37 [13]C6 H81 O8 N P 
777.5261,635194.4,0.72,777.5269,-0.82,8.5,C43 [13]C H75 O8 N P 
777.5395,1457830,1.65,777.541,-1.48,10,C39 [13]C6 H74 O7 N P 
777.5539,1696645.5,1.92,777.5544,-0.44,8.5,C42 [13]C3 H77 O7 N P 
777.5624,1496348.9,1.69,777.5633,-0.96,7.5,C44 [13]C H79 O7 N P 
777.5761,2338305.3,2.65,777.5806,-4.51,6,C33 [13]C10 H78 O8 N P 
777.5959,428122,0.48,777.594,1.94,4.5,C36 [13]C7 H81 O8 N P 
778.5236,4889894,5.53,778.5258,-2.21,9,C41 [13]C3 H74 O8 N P 
778.5387,2609475.5,2.95,778.5392,-0.5,7.5,C44 H77 O8 N P 
778.5479,620557.9,0.7,778.5488,-0.87,9.5,C39 [13]C6 H75 O7 N P 
778.5576,814906.3,0.92,778.5577,-0.13,8.5,C41 [13]C4 H77 O7 N P 
778.5738,1049233.9,1.19,778.5756,-1.8,6.5,C45 H81 O7 N P 
778.5819,598264.6,0.68,778.5756,6.33,6.5,C45 H81 O7 N P 
779.5271,1942291,2.2,779.5292,-2.1,9,C40 [13]C4 H74 O8 N P 
779.5412,1175442.8,1.33,779.5426,-1.34,7.5,C43 [13]C H77 O8 N P 
779.5542,1807443.1,2.05,779.5521,2.05,9.5,C38 [13]C7 H75 O7 N P 
779.5695,1319795.1,1.49,779.57,-0.55,7.5,C42 [13]C3 H79 O7 N P 
779.5848,606581.6,0.69,779.5834,1.41,6,C45 H82 O7 N P 
780.5184,623484.4,0.71,780.5191,-0.74,10.5,C36 [13]C8 H71 O8 N P 
780.5308,472298.9,0.53,780.5325,-1.74,9,C39 [13]C5 H74 O8 N P 
780.5394,458488.6,0.52,780.5415,-2.08,8,C41 [13]C3 H76 O8 N P 
780.5488,916146.4,1.04,780.5504,-1.65,7,C43 [13]C H78 O8 N P 
780.5553,1574996.3,1.78,780.5555,-0.16,9.5,C37 [13]C8 H75 O7 N P 
780.5725,566233.4,0.64,780.5734,-0.88,7.5,C41 [13]C4 H79 O7 N P 
780.5911,405199.1,0.46,780.5913,-0.17,5.5,C45 H83 O7 N P 
781.5469,483588.5,0.55,781.5448,2.1,8,C40 [13]C4 H76 O8 N P 
781.5639,882472,1,781.5633,0.6,9,C37 [13]C8 H76 O7 N P 
781.5841,623460.7,0.71,781.5857,-1.61,6.5,C42 [13]C3 H81 O7 N P 
782.5339,1019103.8,1.15,782.5348,-0.85,9.5,C36 [13]C8 H73 O8 N P 
782.5573,805200.4,0.91,782.5571,0.18,7,C41 [13]C3 H78 O8 N P 
782.5648,909078.6,1.03,782.5661,-1.21,6,C43 [13]C H80 O8 N P 
782.588,233016.3,0.26,782.589,-1.07,6.5,C41 [13]C4 H81 O7 N P 
783.5371,487468.1,0.55,783.5381,-1.05,9.5,C35 [13]C9 H73 O8 N P 
783.5697,737350.4,0.83,783.57,-0.3,9,C35 [13]C10 H76 O7 N P 
784.5133,468122.3,0.53,784.5153,-1.93,12,C43 [13]C3 H72 O7 N P 
784.5488,315536.5,0.36,784.5504,-1.61,8.5,C36 [13]C8 H75 O8 N P 
784.5636,579808.2,0.66,784.5638,-0.25,7,C39 [13]C5 H78 O8 N P 
784.572,703109.2,0.8,784.5728,-0.74,6,C41 [13]C3 H80 O8 N P 
785.5447,317823.9,0.36,785.5493,-4.56,9,C34 [13]C10 H74 O8 N P 
785.5668,200594.1,0.23,785.5672,-0.42,7,C38 [13]C6 H78 O8 N P 
785.5755,352050.2,0.4,785.5761,-0.61,6,C40 [13]C4 H80 O8 N P 
786.5288,3739817.3,4.23,786.5309,-2.11,11,C43 [13]C3 H74 O7 N P 
786.5782,369134.7,0.42,786.5795,-1.24,6,C39 [13]C5 H80 O8 N P 
787.5321,1825674.9,2.07,787.5343,-2.19,11,C42 [13]C4 H74 O7 N P 
788.5234,383267.7,0.43,788.5236,-0.19,9.5,C45 H75 O8 N P 
788.5444,14392348,16.29,788.5466,-2.17,10,C43 [13]C3 H76 O7 N P 
789.5476,7052559,7.98,789.5454,2.16,10.5,C41 [13]C5 H75 O7 N P 
790.5389,1392208,1.58,790.5392,-0.33,8.5,C45 H77 O8 N P 
790.5511,4240012,4.8,790.5533,-2.19,10,C41 [13]C5 H76 O7 N P 
791.5422,747961.9,0.85,791.5426,-0.34,8.5,C44 [13]C H77 O8 N P 
791.5544,7311434.5,8.27,791.5566,-2.18,10,C40 [13]C6 H76 O7 N P 
791.5916,177991.1,0.2,791.5963,-4.6,6,C34 [13]C10 H80 O8 N P 
792.5178,175566.9,0.2,792.5191,-1.33,11.5,C37 [13]C8 H71 O8 N P 
792.5581,3268517,3.7,792.56,-1.89,10,C39 [13]C7 H76 O7 N P 
793.502,214950,0.24,793.5007,1.25,13.5,C46 [13]C H71 O7 N P 
793.5492,1489375.1,1.69,793.5493,-0.12,8.5,C42 [13]C3 H77 O8 N P 
793.5615,2553153,2.89,793.5627,-1.22,7,C45 H80 O8 N P 
794.5339,890822.2,1.01,794.5348,-0.88,10.5,C37 [13]C8 H73 O8 N P 
794.5531,729146.4,0.83,794.5526,0.48,8.5,C41 [13]C4 H77 O8 N P 
794.5643,1754249.8,1.99,794.5661,-1.71,7,C44 [13]C H80 O8 N P 
794.6222,220617.9,0.25,794.6242,-2.04,4,C35 [13]C9 H84 O8 N P 
795.5178,243976.5,0.28,795.5164,1.42,12.5,C46 [13]C H73 O7 N P 
795.5365,349204.9,0.4,795.5381,-1.67,10.5,C36 [13]C9 H73 O8 N P 
795.5676,1228291.6,1.39,795.5694,-1.85,7,C43 [13]C2 H80 O8 N P 
796.5135,340323.7,0.39,796.5153,-1.77,13,C44 [13]C3 H72 O7 N P 
796.5343,394968.9,0.45,796.5287,5.67,11.5,C47 H75 O7 N P 
796.5497,934156.8,1.06,796.5504,-0.77,9.5,C37 [13]C8 H75 O8 N P 
796.571,687907.4,0.78,796.5728,-1.79,7,C42 [13]C3 H80 O8 N P 
797.5513,458037.6,0.52,797.5493,1.96,10,C35 [13]C10 H74 O8 N P 
797.5601,212958.5,0.24,797.5582,1.83,9,C37 [13]C8 H76 O8 N P 
797.5809,659852.6,0.75,797.5806,0.35,6.5,C42 [13]C3 H81 O8 N P 
797.654,641119.9,0.73,797.6521,1.84,2,C36 [13]C8 H88 O8 N P 
798.5288,762178.4,0.86,798.5309,-2.08,12,C44 [13]C3 H74 O7 N P 
798.5557,278833.5,0.32,798.5571,-1.41,9.5,C35 [13]C10 H75 O8 N P 
798.5654,660977.5,0.75,798.5661,-0.68,8.5,C37 [13]C8 H77 O8 N P 
798.5844,414965.7,0.47,798.5839,0.43,6.5,C41 [13]C4 H81 O8 N P 
798.6574,325100.3,0.37,798.6555,1.86,2,C35 [13]C9 H88 O8 N P 
799.5271,783781.8,0.89,799.5253,1.77,13,C41 [13]C6 H72 O7 N P 
799.5599,472439.9,0.53,799.565,-5.06,9,C35 [13]C10 H76 O8 N P 
799.5681,356458.1,0.4,799.5694,-1.32,8.5,C36 [13]C9 H77 O8 N P 
799.5843,211576.9,0.24,799.5828,1.46,7,C39 [13]C6 H80 O8 N P 
799.5877,221211.8,0.25,799.5873,0.38,6.5,C40 [13]C5 H81 O8 N P 
799.6691,221833.5,0.25,799.6678,1.34,1,C36 [13]C8 H90 O8 N P 
800.5304,300237.3,0.34,800.5287,1.69,13,C40 [13]C7 H72 O7 N P 
800.544,681700.8,0.77,800.5421,1.96,11.5,C43 [13]C4 H75 O7 N P 
800.5631,182434.8,0.21,800.56,3.16,9.5,C47 H79 O7 N P 
801.5401,331656.9,0.38,801.541,-0.85,12,C41 [13]C6 H74 O7 N P 
801.5474,215737,0.24,801.5454,1.99,11.5,C42 [13]C5 H75 O7 N P 
801.5763,244059.7,0.28,801.5806,-4.28,8,C35 [13]C10 H78 O8 N P 
802.539,285326.4,0.32,802.5392,-0.22,9.5,C46 H77 O8 N P 
802.5599,794016.6,0.9,802.5577,2.21,10.5,C43 [13]C4 H77 O7 N P 
803.5553,745707.4,0.84,803.5566,-1.36,11,C41 [13]C6 H76 O7 N P 
804.5557,300022.4,0.34,804.5555,0.2,11.5,C39 [13]C8 H75 O7 N P 
804.5617,333624.3,0.38,804.56,1.74,11,C40 [13]C7 H76 O7 N P 
804.5756,608218.9,0.69,804.5734,2.22,9.5,C43 [13]C4 H79 O7 N P 
804.6237,193543.2,0.22,804.622,1.71,4.5,C39 [13]C6 H85 O8 N P 
805.5707,1617283.4,1.83,805.5723,-1.56,10,C41 [13]C6 H78 O7 N P 
805.6077,197131.3,0.22,805.6119,-4.18,6,C35 [13]C10 H82 O8 N P 
806.5552,821580.7,0.93,806.5571,-1.95,9,C43 [13]C3 H78 O8 N P 
806.5648,614452.9,0.7,806.5661,-1.27,8,C45 [13]C H80 O8 N P 
806.5757,695398.3,0.79,806.5756,0.06,10,C40 [13]C7 H78 O7 N P 
807.5584,332412.8,0.38,807.5605,-2.07,9,C42 [13]C4 H78 O8 N P 
807.5849,1043060.6,1.18,807.5834,1.49,9.5,C40 [13]C7 H79 O7 N P 
808.5132,1137510.9,1.29,808.5153,-2.05,14,C45 [13]C3 H72 O7 N P 
808.5496,838891.8,0.95,808.5504,-0.83,10.5,C38 [13]C8 H75 O8 N P 
808.5811,1738076.8,1.97,808.5817,-0.59,7,C45 [13]C H82 O8 N P 
809.5165,587933.7,0.67,809.5186,-2.08,14,C44 [13]C4 H72 O7 N P 
809.5519,516594.3,0.58,809.5538,-1.9,10.5,C37 [13]C9 H75 O8 N P 
809.5656,483701.7,0.55,809.5672,-1.6,9,C40 [13]C6 H78 O8 N P 
809.5849,1069304,1.21,809.5851,-0.16,7,C44 [13]C2 H82 O8 N P 
810.5288,7523437.5,8.51,810.5309,-2.11,13,C45 [13]C3 H74 O7 N P 
810.5651,1085156.9,1.23,810.5661,-0.94,9.5,C38 [13]C8 H77 O8 N P 
810.5757,266590.5,0.3,810.575,0.68,8.5,C40 [13]C6 H79 O8 N P 
810.5882,991822.6,1.12,810.5884,-0.24,7,C43 [13]C3 H82 O8 N P 
811.532,4269822,4.83,811.5298,2.2,13.5,C43 [13]C5 H73 O7 N P 
811.5607,1196003.1,1.35,811.565,-4.27,10,C36 [13]C10 H76 O8 N P 
811.5767,383265.7,0.43,811.5784,-1.62,8.5,C39 [13]C7 H79 O8 N P 
811.5909,445531.6,0.5,811.5918,-0.84,7,C42 [13]C4 H82 O8 N P 
811.5986,299159.2,0.34,811.6007,-2.14,6,C44 [13]C2 H84 O8 N P 
812.5441,6762250.5,7.65,812.5421,2.07,12.5,C44 [13]C4 H75 O7 N P 
812.564,660664.9,0.75,812.56,4.03,10.5,C48 H79 O7 N P 
812.5811,228937.1,0.26,812.5817,-0.61,8.5,C38 [13]C8 H79 O8 N P 
812.5938,569504.6,0.64,812.5951,-1.3,7,C41 [13]C5 H82 O8 N P 
813.5394,5592889,6.33,813.541,-1.62,13,C42 [13]C6 H74 O7 N P 
813.5754,539778.2,0.61,813.5806,-5.16,9,C36 [13]C10 H78 O8 N P 
813.5983,210725.2,0.24,813.5985,-0.16,7,C40 [13]C6 H82 O8 N P 
814.5428,2794245.8,3.16,814.5443,-1.52,13,C41 [13]C7 H74 O7 N P 
815.5542,3615904,4.09,815.5521,2.02,12.5,C41 [13]C7 H75 O7 N P 
816.5576,1732000.8,1.96,816.5555,2.13,12.5,C40 [13]C8 H75 O7 N P 
816.5759,577172.4,0.65,816.5779,-1.97,10,C45 [13]C3 H80 O7 N P 
817.5609,1128856.8,1.28,817.5627,-1.77,9,C47 H80 O8 N P 
818.534,185749.5,0.21,818.5348,-0.78,12.5,C39 [13]C8 H73 O8 N P 
818.5637,684580.8,0.77,818.5622,1.53,12.5,C38 [13]C10 H75 O7 N P 
819.5181,1289805.8,1.46,819.5164,1.69,14.5,C48 [13]C H73 O7 N P 
819.5677,448898.6,0.51,819.5694,-1.67,9,C45 [13]C2 H80 O8 N P 
819.5857,286615.5,0.32,819.5879,-2.2,10,C42 [13]C6 H80 O7 N P 
820.5212,671381.6,0.76,820.5197,1.49,14.5,C47 [13]C2 H73 O7 N P 
820.5497,650900.6,0.74,820.5504,-0.76,11.5,C39 [13]C8 H75 O8 N P 
820.5706,341472.2,0.39,820.5728,-2.15,9,C44 [13]C3 H80 O8 N P 
821.5327,546894.6,0.62,821.532,0.69,13.5,C48 [13]C H75 O7 N P 
821.5529,311772.3,0.35,821.5538,-0.88,11.5,C38 [13]C9 H75 O8 N P 
821.5655,204510.6,0.23,821.5672,-1.66,10,C41 [13]C6 H78 O8 N P 
822.5289,619889.4,0.7,822.5309,-1.96,14,C46 [13]C3 H74 O7 N P 
822.5651,737188.3,0.83,822.5661,-1,10.5,C39 [13]C8 H77 O8 N P 
823.5316,369427.2,0.42,823.5298,1.79,14.5,C44 [13]C5 H73 O7 N P 
823.5613,257341.8,0.29,823.565,-3.67,11,C37 [13]C10 H76 O8 N P 
823.5672,262693.8,0.3,823.565,2.23,11,C37 [13]C10 H76 O8 N P 
823.5805,190853,0.22,823.5784,2.09,9.5,C40 [13]C7 H79 O8 N P 
824.544,768000.7,0.87,824.5421,1.9,13.5,C45 [13]C4 H75 O7 N P 
824.5601,190423.3,0.22,824.56,0.14,11.5,C49 H79 O7 N P 
824.581,302648,0.34,824.5817,-0.68,9.5,C39 [13]C8 H79 O8 N P 
825.5392,670367.1,0.76,825.541,-1.8,14,C43 [13]C6 H74 O7 N P 
825.5756,293164.3,0.33,825.5806,-5,10,C37 [13]C10 H78 O8 N P 
826.5424,221988.2,0.25,826.5443,-1.94,14,C42 [13]C7 H74 O7 N P 
826.5599,916920.6,1.04,826.5577,2.13,12.5,C45 [13]C4 H77 O7 N P 
827.5549,1273476.4,1.44,827.5566,-1.71,13,C43 [13]C6 H76 O7 N P 
828.5572,631779.4,0.71,828.5555,1.72,13.5,C41 [13]C8 H75 O7 N P 
828.57,323586.6,0.37,828.5689,1.14,12,C44 [13]C5 H78 O7 N P 
829.5703,1069447.3,1.21,829.5723,-1.92,12,C43 [13]C6 H78 O7 N P 
830.5656,1193306.6,1.35,830.5661,-0.48,10,C47 [13]C H80 O8 N P 
830.5913,383969.4,0.43,830.5935,-2.16,10,C46 [13]C3 H82 O7 N P 
830.6397,212914.2,0.24,830.6376,2.13,5.5,C41 [13]C6 H87 O8 N P 
831.5167,196978.7,0.22,831.5029,13.82,6.5,C43 H76 O13 P 
831.5693,685846.1,0.78,831.57,-0.66,2.5,C36 [13]C6 H82 O13 P 
831.5864,873085.2,0.99,831.5879,-1.43,0.5,C40 [13]C2 H86 O13 P 
832.5725,740856.4,0.84,832.5733,-0.87,2.5,C35 [13]C7 H82 O13 P 
832.6068,220190.8,0.25,832.6046,2.13,-1,C42 H89 O13 P 
832.6549,548083.6,0.62,832.6046,50.23,-1,C42 H89 O13 P 
833.5754,348119.5,0.39,833.5767,-1.33,2.5,C34 [13]C8 H82 O13 P 
833.5849,326834.1,0.37,833.5856,-0.73,1.5,C36 [13]C6 H84 O13 P 
833.6017,859736.6,0.97,833.6035,-1.85,-0.5,C40 [13]C2 H88 O13 P 
834.5288,3299795.8,3.73,834.5264,2.45,5,C43 H79 O13 P 
834.5865,714485.1,0.81,834.5845,1.99,2,C34 [13]C8 H83 O13 P 
834.5964,701953.7,0.79,834.5979,-1.56,0.5,C37 [13]C5 H86 O13 P 
835.5323,2070419,2.34,835.5342,-1.95,4.5,C43 H80 O13 P 
835.5619,199353.2,0.23,835.5834,-21.52,2.5,C32 [13]C10 H82 O13 P 
835.5819,486245.9,0.55,835.5834,-1.46,2.5,C32 [13]C10 H82 O13 P 
835.6031,440474.3,0.5,835.6013,1.81,0.5,C36 [13]C6 H86 O13 P 
835.6085,454066.3,0.51,835.6102,-1.68,-0.5,C38 [13]C4 H88 O13 P 
836.5442,4369096,4.94,836.542,2.21,4,C43 H81 O13 P 
836.5811,404136.8,0.46,836.5912,-10.12,2,C32 [13]C10 H83 O13 P 
836.5928,339200,0.38,836.5912,1.56,2,C32 [13]C10 H83 O13 P 
836.612,648117.3,0.73,836.6136,-1.6,-0.5,C37 [13]C5 H88 O13 P 
837.5398,3303444,3.74,837.5409,-1.11,4.5,C41 [13]C2 H80 O13 P 
837.5766,713767.8,0.81,837.5991,-22.46,1.5,C32 [13]C10 H84 O13 P 
837.5965,902957.7,1.02,837.5991,-2.57,1.5,C32 [13]C10 H84 O13 P 
837.616,384253.9,0.43,837.6169,-0.96,-0.5,C36 [13]C6 H88 O13 P 
838.5433,2167332,2.45,838.5443,-0.94,4.5,C40 [13]C3 H80 O13 P 
838.5593,2280832.3,2.58,838.5577,1.6,3,C43 H83 O13 P 
838.5803,276422.3,0.31,838.5577,22.63,3,C43 H83 O13 P 
838.599,470266.5,0.53,838.6069,-7.83,1,C32 [13]C10 H85 O13 P 
838.6189,320318.5,0.36,838.6203,-1.43,-0.5,C35 [13]C7 H88 O13 P 
839.5545,3592782.8,4.07,839.5566,-2.06,3.5,C41 [13]C2 H82 O13 P 
839.5923,539186.6,0.61,839.6147,-22.44,0.5,C32 [13]C10 H86 O13 P 
839.6031,431757.8,0.49,839.6147,-11.6,0.5,C32 [13]C10 H86 O13 P 
840.558,2047289.8,2.32,840.5599,-1.88,3.5,C40 [13]C3 H82 O13 P 
840.5754,1922018.1,2.18,840.5733,2.07,2,C43 H85 O13 P 
840.5949,225965.1,0.26,840.5733,21.6,2,C43 H85 O13 P 
841.5695,1658337.9,1.88,841.5677,1.72,3,C40 [13]C3 H83 O13 P 
841.6087,243695.9,0.28,841.6304,-21.63,-0.5,C32 [13]C10 H88 O13 P 
842.5726,1049289,1.19,842.5711,1.49,3,C39 [13]C4 H83 O13 P 
842.5906,513090,0.58,842.589,1.6,1,C43 H87 O13 P 
843.5176,197217.8,0.22,843.5029,14.74,7.5,C44 H76 O13 P 
843.5503,178081.9,0.2,843.5521,-1.82,5.5,C33 [13]C10 H78 O13 P 
843.5703,596047.1,0.67,843.57,0.31,3.5,C37 [13]C6 H82 O13 P 
843.5854,946937.1,1.07,843.5834,2.03,2,C40 [13]C3 H85 O13 P 
844.5642,466299.3,0.53,844.5644,-0.15,4.5,C34 [13]C9 H80 O13 P 
844.5802,418433.9,0.47,844.5823,-2.1,2.5,C38 [13]C5 H84 O13 P 
844.5879,401770.9,0.45,844.5867,1.19,2,C39 [13]C4 H85 O13 P 
844.6069,498052.9,0.56,844.6046,2.26,0,C43 H89 O13 P 
845.5651,411717.7,0.47,845.5678,-2.62,4.5,C33 [13]C10 H80 O13 P 
845.5917,310985.5,0.35,845.5901,1.61,2,C38 [13]C5 H85 O13 P 
845.6015,257569.1,0.29,845.6035,-2.03,0.5,C41 [13]C2 H88 O13 P 
846.4957,190022.3,0.22,846.4951,0.59,9.5,C37 [13]C7 H72 O13 P 
846.559,183873.2,0.21,846.5756,-16.62,4,C33 [13]C10 H81 O13 P 
847.5715,488814.5,0.55,847.5834,-11.94,3.5,C33 [13]C10 H82 O13 P 
849.586,508487.4,0.58,849.5991,-13,2.5,C33 [13]C10 H84 O13 P 
850.5598,266421.2,0.3,850.5577,2.14,4,C44 H83 O13 P 
850.5751,409827.1,0.46,850.5577,17.47,4,C44 H83 O13 P 
850.5895,267334.4,0.3,850.6069,-17.34,2,C33 [13]C10 H85 O13 P 
851.5566,235506.6,0.27,851.5566,0.05,4.5,C42 [13]C2 H82 O13 P 
851.5918,227405.5,0.26,851.6147,-22.88,1.5,C33 [13]C10 H86 O13 P 
852.5589,186811.8,0.21,852.5599,-1.06,4.5,C41 [13]C3 H82 O13 P 
852.5752,490801.5,0.56,852.5733,1.92,3,C44 H85 O13 P 
852.5904,198317.7,0.22,852.5733,17.1,3,C44 H85 O13 P 
853.5711,1025282.3,1.16,853.5722,-1.13,3.5,C42 [13]C2 H84 O13 P 
854.574,576215.7,0.65,854.5756,-1.61,3.5,C41 [13]C3 H84 O13 P 
854.5911,805745,0.91,854.589,2.14,2,C44 H87 O13 P 
855.5863,1962581.9,2.22,855.5879,-1.56,2.5,C42 [13]C2 H86 O13 P 
856.5377,196105,0.22,856.5599,-22.23,6,C34 [13]C10 H79 O13 P 
856.5883,1034582.7,1.17,856.5867,1.58,3,C40 [13]C4 H85 O13 P 
856.6036,262519.5,0.3,856.6046,-1.04,1,C44 H89 O13 P 
856.655,239676.5,0.27,856.6538,1.13,-1,C33 [13]C10 H91 O13 P 
857.5183,1626715.5,1.84,857.5186,-0.26,7.5,C45 H78 O13 P 
857.6013,1111033.9,1.26,857.6035,-2.2,1.5,C42 [13]C2 H88 O13 P 
857.6752,597307.8,0.68,857.6125,62.72,0.5,C44 H90 O13 P 
858.5211,899937.6,1.02,858.5219,-0.83,7.5,C44 [13]C H78 O13 P 
858.5967,1559566.4,1.76,858.5979,-1.21,2.5,C39 [13]C5 H86 O13 P 
858.6704,1550108.4,1.75,858.6203,50.16,0,C44 H91 O13 P 
859.526,969005.4,1.1,859.5253,0.71,7.5,C43 [13]C2 H78 O13 P 
859.5467,387882.6,0.44,859.5342,12.49,6.5,C45 H80 O13 P 
859.5812,528874.8,0.6,859.5834,-2.18,4.5,C34 [13]C10 H82 O13 P 
859.6,640149.8,0.72,859.6013,-1.24,2.5,C38 [13]C6 H86 O13 P 
859.6739,735311.9,0.83,859.6281,45.77,-0.5,C44 H92 O13 P 
859.6907,335528.5,0.38,859.6281,62.57,-0.5,C44 H92 O13 P 
860.5285,3659504.5,4.14,860.5286,-0.13,7.5,C42 [13]C3 H78 O13 P 
860.5503,246291.5,0.28,860.542,8.23,6,C45 H81 O13 P 
860.5862,287068.2,0.32,860.5912,-4.98,4,C34 [13]C10 H83 O13 P 
860.6033,771679.3,0.87,860.6046,-1.32,2.5,C37 [13]C7 H86 O13 P 
860.6855,722920.5,0.82,860.6359,49.55,-1,C44 H93 O13 P 
861.5318,2227554.8,2.52,861.532,-0.13,7.5,C41 [13]C4 H78 O13 P 
861.5487,883334.3,1,861.5499,-1.13,5.5,C45 H82 O13 P 
861.6038,376778.2,0.43,861.6035,0.26,3,C35 [13]C9 H85 O13 P 
861.6706,307640.7,0.35,861.6393,31.28,-1,C43 [13]C H93 O13 P 
861.6891,389510.7,0.44,861.6393,49.82,-1,C43 [13]C H93 O13 P 
862.5355,1894106,2.14,862.5353,0.17,7.5,C40 [13]C5 H78 O13 P 
862.618,343827.1,0.39,862.6158,2.2,2,C36 [13]C8 H87 O13 P 
863.5388,1176785,1.33,863.5387,0.16,7.5,C39 [13]C6 H78 O13 P 
863.5647,1195675.9,1.35,863.5655,-0.75,4.5,C45 H84 O13 P 
863.6123,462109.1,0.52,863.6147,-2.38,2.5,C34 [13]C10 H86 O13 P 
864.5428,1164916,1.32,864.542,0.75,7.5,C38 [13]C7 H78 O13 P 
864.5594,1493572,1.69,864.5599,-0.53,5.5,C42 [13]C3 H82 O13 P 
864.6176,224621.3,0.25,864.6225,-4.88,2,C34 [13]C10 H87 O13 P 
865.5021,625047.9,0.71,865.4873,14.84,10.5,C46 H74 O13 P 
865.5467,640660.7,0.72,865.5454,1.31,7.5,C37 [13]C8 H78 O13 P 
865.5623,771491.8,0.87,865.5633,-0.96,5.5,C41 [13]C4 H82 O13 P 
865.6276,351587.9,0.4,865.6304,-2.8,1.5,C34 [13]C10 H88 O13 P 
866.5058,341551.1,0.39,866.4951,10.76,10,C46 H75 O13 P 
866.5496,440278.6,0.5,866.5487,0.9,7.5,C36 [13]C9 H78 O13 P 
866.5658,700697.8,0.79,866.5666,-0.81,5.5,C40 [13]C5 H82 O13 P 
866.5742,576985.3,0.65,866.5756,-1.39,4.5,C42 [13]C3 H84 O13 P 
866.5913,478601.6,0.54,866.589,2.34,3,C45 H87 O13 P 
867.5174,507437.2,0.57,867.5029,14.54,9.5,C46 H76 O13 P 
867.5394,328201.6,0.37,867.5521,-12.7,7.5,C35 [13]C10 H78 O13 P 
867.5523,256141.5,0.29,867.5521,0.16,7.5,C35 [13]C10 H78 O13 P 
867.5702,362743.8,0.41,867.57,0.23,5.5,C39 [13]C6 H82 O13 P 
867.5776,317363.9,0.36,867.5789,-1.34,4.5,C41 [13]C4 H84 O13 P 
867.5945,260298.6,0.29,867.5923,2.14,3,C44 [13]C H87 O13 P 
868.5208,206130.5,0.23,868.5107,10.12,9,C46 H77 O13 P 
868.5601,183983.3,0.21,868.5599,0.19,7,C35 [13]C10 H79 O13 P 
868.5731,440795.2,0.5,868.5733,-0.27,5.5,C38 [13]C7 H82 O13 P 
868.607,427191.6,0.48,868.6046,2.34,2,C45 H89 O13 P 
869.5546,2894212.8,3.28,869.5678,-13.14,6.5,C35 [13]C10 H80 O13 P 
869.5756,224660.3,0.25,869.5767,-1.14,5.5,C37 [13]C8 H82 O13 P 
869.6016,233327.5,0.26,869.6035,-1.9,2.5,C43 [13]C2 H88 O13 P 
870.558,1637507.8,1.85,870.5756,-17.57,6,C35 [13]C10 H81 O13 P 
870.5789,183050.6,0.21,870.58,-1.12,5.5,C36 [13]C9 H82 O13 P 
871.5342,395360.2,0.45,871.5342,-0.03,7.5,C46 H80 O13 P 
871.5703,2649094.3,3,871.5834,-13.06,5.5,C35 [13]C10 H82 O13 P 
871.6169,252313.7,0.29,871.6147,2.18,2,C42 [13]C3 H89 O13 P 
872.5361,253986.8,0.29,872.5376,-1.49,7.5,C45 [13]C H80 O13 P 
872.5732,1363788.3,1.54,872.5912,-18,5,C35 [13]C10 H83 O13 P 
873.5492,309435,0.35,873.5499,-0.65,6.5,C46 H82 O13 P 
873.5858,820889.3,0.93,873.5991,-13.28,4.5,C35 [13]C10 H84 O13 P 
874.5444,811909.4,0.92,874.5443,0.09,7.5,C43 [13]C3 H80 O13 P 
874.5841,446407.5,0.51,874.6069,-22.74,4,C35 [13]C10 H85 O13 P 
875.5474,418734.2,0.47,875.5476,-0.21,7.5,C42 [13]C4 H80 O13 P 
876.5594,481040.8,0.54,876.5599,-0.56,6.5,C43 [13]C3 H82 O13 P 
877.562,362819.8,0.41,877.5633,-1.28,6.5,C42 [13]C4 H82 O13 P 
878.5658,214158.9,0.24,878.5666,-0.8,6.5,C41 [13]C5 H82 O13 P 
879.5871,185736.4,0.21,879.5879,-0.79,4.5,C44 [13]C2 H86 O13 P 
880.5733,191863.8,0.22,880.5733,-0.05,6.5,C39 [13]C7 H82 O13 P 
